Work Steps,Actions,CATEGORY 
LH LG WHEEL ASSY DAMAGED / FRAYED,". 

BOUNDING JUMPER LO TO REMOVED FRAYED FABRICK FROM BOUNDING JUMPER NO DAMAGE FOUND REF EMB 145MM 20-13-21 / LO TO REMOVED",STATIC WICK/BONDING STRAP
PARKING BRAKE LIGHT INOP / LOTO INSTALLED,". 

PB LIGHT INOP RELAMPED PARKING BEAKE LIGHT. OPS CHECK GOOD. REF EMB 145 MM 20-13-04 / LOTO REMOVED AND STOWED LOTO",COCKPIT LIGHT/PUSHBUTTON
LIGHT BELOW LAV SINK INOP / LOTO DEVICE INSTALLED,". 

LAV RESET LAV LIGHTS & OP/S GOOD REF EMB 145MM 33-28-00 / LO TO REMOVED",INTERIOR LIGHT
TCAS FAIL ON BOTH CAPTAIN AND FOS PFD AND MFD DURING FLIGHT. / MEL VERIFICATION REQUIRED.,". 

DEFERRED TCAS PER MEL 34-43-00-1, PLACARD INSTALLED, CB J6 (TCAS) PULLED AND COLLARED. / LP 88104 PERFORMED FIM 34-43-00-810-802-A PROCEDURE BLOCKS 1, 2, 29, 30, 31, 32, AND 71. NO FAULTS FOUND AT THIS TIME, FURTHER TROUBLESHOOTING REQUIRED DUE TO HISTORY. MEL CONTINUES / LP 0088107 REMOVED AND REPLACED TCAS PROCESSOR IAW EMB-145 AMM 34-43-01 OPS CHECK GOOD. THIS CLEARS MEL. PLACARD REMOVED. CB J6 RESET. / LP 88102 MEL 34-43-00-1 VERIFIED. CB J6 HAS BEEN PULLED AND COLLARED. PLACARDS APPLIED. MEL CONTINUES.",TCAS
ON APPROACH ERRATIC SIGNAL FROM LOCOLIZER / LOTO INSTALLED,". 

PREFORMED TI E145-3432-2021-002 SECTIONS A, B, AND D. VOR AND LOC TEST PASSED. / REFER TO WORK ORDER # 102036985 FOR CORRECTIVE ACTION / LOTO REMOVED AND STOWED AS REQUIRED",VOR/DME/LOC/ILS
TCAS FAILED ON BOTH CA`S AND FO`S PFDS AND MFDS DURING FLIGHT. EXTINGUISHED WITHIN 3 MINUTES. / LOTO INSTALLED,". 

TCAS RESET TCAS SYSTEM.PERFOMED OPS CK, VERIFIED NORMAL OPS, REF EMB 145 MM 34-43-00 / LOTO REMOVED AND STOWED LOTO",TCAS
AIRCRAFT PERFORMANCE BENEATH ALTITUDE AND PERFORMANCE DATA ALTITUDE DISCREPANCY (NOT ACCEPTING MODE -ALSO LOOSING FULL PERFORMANCE MODE) / LOTO INSTALLED,". 

PERFORMED ELECTRICAL RESET IRW EMB 145 AMM 20-40-01 NO NEW DEFECTS NOTED AT THIS TIME. / REMOVED AND STOWED LOT DEVICE AS REQUIRED",OTHER
BLEED 1 OFF LIGHT INOP / LOTO INSTALLED,". 

#1 BLEED PB RELAMPED #1 BLEED PB & OPS GOOD REF EMB145MM 20-13-04 / LOTO REMOVED",COCKPIT LIGHT/PUSHBUTTON
STATIC T/O WENT PAST THROTTLE DETENT INTO E/TO RESERVE NO LIMITATIONS EXCEEDED.,". 

FOUND TO BE WITHIN LIMITS AS PER EMB ASM 37-10.11",SPECIAL INSPECTION
SCREW LOOSE UNDER RIGHT PACK PANEL / LOTO INSTALLED,". 

RESECURED SCREW IAW AMM 20-10-01. NO DEFETCS NOTED. / REMOVED AND STOWED LOTO DEVICE AS REQUIRED.",MISSING/LOOSE SCREW
LOOSE SCREW ALONG ON THE RIGHT SIDE OF THE PLANE ABOVE THE WING. / LOTO INSTALLED,". 

SECURRED LOOSE SCREW IRW E145 AMM 53-04-01. NO NEW DEFECTS NOTED AT THIS TIME / REMOVED AND STOWED LOTO DEVICE AS REQUIRED",MISSING/LOOSE SCREW
SCREW ON FWD PANEL (RIGHT WING) IS LOOSE.,". 

RESECURRED SCREW ON RH PACK PANEL IRW EMB 145 AMM 53-04-01. NO NEW DEFECTS NOTED AT THIS TIME",MISSING/LOOSE SCREW
MISSING SCREW ABOVE LEFT WING / LOTO INSTALLED,". 

REPLACED MISSING SCREW ABOVE LEFT HAND WING IRW EMB 145 AMM 20-10-07. / LOTO REMOVED AND STOWED AS REQUIRED.",MISSING/LOOSE SCREW
SEALANT SEPERATING FROM FO`S WINDSHIELD / LOTO INSTALLED,". 

PERFORMED TEMPORATY REPAIR ON FO`S WINDSHIELD HUMP SEAL IAW EMB 145 AMM 56-10-01. PLACED ON DMI 102036939 FOR 100 FH. / REMOVED AND STOWED LOTO AS REQUIRED",WS SEALANT
"SCREW LOOSE, #2 ENGINE ACCESS PANEL / LOTO INSTALLED",". 

SCREW RESECURED SCREW ON OIL PANEL #2 ENG.....REF EMB 145 MM 12-12-01 / LOTO REMOVED",MISSING/LOOSE SCREW
ENG 1 OIL QTY 8 QTS AND ENG 2 OIL QTY 9 QTS. / LOTO INSTALLED,". 

SERVICED OIL ON E2 AND E1 IAW EMB 145 AMM 12-12-01. / LOTO REMOVED AND STOWED AS REQUIRED.",ENG OIL
LOG BOOK MISSING LOG PAGE 1016934,". 

MX CONTROL PERFORMED AMOS REVIEW FOR LOG PAGE 1016934 AND NO ENTRIES WERE FOUND. PER GMM SEC 7 PG 40, AC IS OKAY FOR CONTINUED SERVICE. FILED CA-16 FORM WITH RECORDS FOR MISSING PAPERWORK.",PAPERWORK
SCREW MISSING FROM VENTRAL TANK RIGHT SIDE / LOTO INSTALLED,". 

INSTALLED SCREW IAW EMB 145 AMM 20-10-01 NO FURTHER DEFECTS NOTED / LOTO REMOVED AND STOWED AS REQUIRED",MISSING/LOOSE SCREW
EVIDENCE OF POSSIBLE BIRD STRIKE ON LEFT WING / LOTO INSTALLED,". 

PERFORMED BIRD STRIKE INSPECTION IAW EMB 145 AMM 05-50-08 NO DEFECTS NOTED / LOTO REMOVED & STOWED AS REQUIRED",BIRD STRIKE
ROW 3A PLACARD FOR O2 MASK CORRECT? / 1005778 LOTO INSTALLED,". 

FOUND PLACARD IN CORRECT POSITION IRW EMB 145 AMM 11-32-04 / LOTO REMOVED AND STOWED",PLACARD
CA`S SIDE PTT BUTTON NOT WORKING (INTERMITTENT) / VERIFY WHICH PTT BUTTON IS NOT WORKING PROPERLY/INTERMITTENT BY OPS CK PER EMB 145 AMM 23-51-00. / REPLACE THE INOPERATIVE CA SIDE PTT BUTTON PER EMB 145 AMM 23-51-02 AND/OR 23-51-03.,". 

DEFERRED PER MEL 23-51-03-1, PLACARD APPLIED / LP 88608 R&R CAPTAIN`S MODULE ASSY IAW EMB 145 AMM 20-13-00. OP CHECK GOOD, THIS CLEARS MEL. PLACARD REMOVED. / LP 88603 PERFORMED OP CHECK ON BOTH CA`S PTT BUTTONS, FOUND TO BE BUTTON ON GLARESHIELD. VOLTAGE GOING TO BUTTON, BUT NO RESPONSE WHEN DEPRESSED. PERFORMED OP CHECK IAW EMB 145 AMM 23-51-00. NPIS AT TYS TO REPLACE. MEL CONTINUES. / REPLACE THE INOPERATIVE CA SIDE PTT BUTTON PER EMB 145 AMM 23-51-02 AND/OR 23-51-03. MEL CLEARED",COMM
MISC LIGHTS OUT ON AP PANEL AND BOTH CPL`S ARE OUT,". 

DEFERRED PER MEL 22-10-00-1 PLACARD APPLIED / AP PANEL LIGHT OUT R/R MULTIPLE BULBS ON AP PANEL IAW EMB145 AMM 20-13-04, OPS CHECK SAT MEL CLEARED AC RETURNED TO CAT 2 SERVICE PLACARDS REMOVED",COCKPIT LIGHT/PUSHBUTTON
RIGHT MAIN GEAR BONDING STRAP BRAIDING FRAYED,". 

LP 1005659 INSPECTED BONDING STRAP ON RH MLG, FOUND EXT NYLON SLEEVE TO BE FRAYED. BONDING STRAP IS FULLY INTACT AND SERVICEABLE IAW EMB 145 AMM 20-13-21.",STATIC WICK/BONDING STRAP
CABIN TEMP INDICATION ERRONEOUS SHOWS 12 DEGREES WHEN APPROXIMATELY 22 / LOTO INSTALLED,". 

DEFFERED PER MEL 21-60-05-1. MANUAL MODE WORKS AS INTENDED. PLACARDS IN PLACE. / 1005708 REPLACED DIGITAL TEMP CONTROLER IAW EMB145XR AMM 21-60-04 OPS CHECK GOOD MEL CLEARED PLACARD REMOVED / LOTO REMOVED AND STOWED AS REQUIRED.",PACK TEMP
PACK 1 VALVE CLOSED EICAS MESSAGE DURING FLIGHT / LOTO INSTALLED,". 

REMOVED AND REPLACED PACK SLEEVE ON #1 PAK IAW EMB 145 AMM 21-51-02. OPS CHECK SAT. / LOTO REMOVED AND STOWED AS REQUIRED.",PACK VALVE
STATIC WICK ON RIGHT WINGLET IS MISSING / LOTO INSTALLED,". 

DEFERRED PER CDL 23-60-2-CDL PLACARD APPLIED / STATIC WICK INSTALLED IAW EMB 145 AMM 23-60-01. ADJUSTMENT/TEST CARRIED OUT IAW EMB 145 AMM 23-60-00. FOUND SAT. CDL CLEARED. PLACARD REMOVED / LOTO REMOVED",STATIC WICK/BONDING STRAP
CA`S MIC NO TRANSMIT,". 

FOUND HAND MIC PLUGGED INTO INCORRECT SLOT, PLUGGED INTO CORRECT SLOT AND PERFORMED ADJUSTMENT AND TEST IAW EMB 145 AMM 23-51-00",COMM
APU GEN OFF BUS DISPLAYED ON LANDING / LOTO INSTALLED,". 

FOUND A LOOSE STARTER GEN CONNECTION. TORQUED IAW EMB 145 AMM 24-34-01. OPS CHECK GOOD AT THIS TIME. -DH 3769104 / LOTO REMOVED AND STOWED",APU GEN PROBLEM
FO`S GRAB HANDLE CAME OFF / LOTO INSTALLED,". 

DEFERRED PER NEF 25-93-03-1 PLACARD APPLIED / LP 0096176 INSTALLED FO GRAB HANDLE IAW EMB-145 AMM 20-10-01, THIS CLEARS NEF. PLACARD REMOVED. / LOTO REMOVED",COCKPIT EQUIP/INTERIOR
"FA SEAT BROKEN, WONT GO UP / LOTO INSTALLED",". 

DEFERRED PER MEL 25-11-04-1. PLACARDS APPLIED. SEAT SECURED. CUSHION SECURED IN WARDROBE. / REPLACED MISSING BOLTS ON FA SEAT IAW EMB145 AMM 25-21-02 OPS CK GOOD PLACARDS REMOVED MEL CLEARED LP 68014 / LOTO REMOVED AND STOWED",CREW SEAT
MISSING 20 SAFETY BRIEFING CARDS. / LOTO INSTALLED,". 

CARDS INSTALLED 20 SAFETY CARDS AS REQUIRED / LOTO REMOVED AND STOWED",OTHER
SEAT 4A SEAT BACK BROKEN. / LOTO DEVICE INSTALLED.,". 

DEFERRED SEAT 4A AND 5A PER MEL 25-21-05-1. DO NOT OCCUPY PLACARDS INSTALLED. 4A SEAT BACK REMOVED. / R/R SEAT BACK BRACKET AND REINSTALLED SEAT BACK IRW SAFRAN CMM 25-20-60, PLACARD REMOVED, MEL CLEARED / REMOVED AND STOWED LOTO DEVICE AS REQUIRED.",PAX SEAT
SEAT 21A ARMREST COVER BROKEN / LOTO INSTALLED,". 

R/R SEAT 21A ARMREST END CAP REF CMM 25-20-60 / REMOVED AND STOWED LOTO",PAX SEAT
BOTH GALLEY CART BRAKES NOT WORKING WELL / LOTO INSTALLED,". 

CART/S REPLACED BOTH GALLEY CART/S OP/S CHECKED BRAKES GOOD / LO TO REMOVED",GALLEY
SEAT 5C RECLINE BUTTON NOT WORKING / LOTO INSTALLED,". 

LP 52737 RESECURED SEAT 5C RECLINE BUTTON, OPS CHECK GOOD IAW EMB 145 CMM 25-20-59 / LP 52737 LOTO REMOVED AND STOWED",PAX SEAT
STALL WARNING TEST LIGHT ON THE CENTER CONSOLE DOESN`T COME ON,". 

LP 1005659 RELAMPED STALL WARNING TEST LIGH IAW EMB 145 AMM 20-13-04. OP CHECK GOOD.",COCKPIT LIGHT/PUSHBUTTON
"RUDDER HARDOVER PROT FAIL ON EICAS / LOTO FAIL ON EICAS / CMC AND FADEC FAULT CODES HAVE BEEN REVIEWED RECOMMENDATION IS TO REPLACE THE FOLLOWING RELAYS FOR ENGINE #1: REPLACE THE FOLLOWING RELAYS PER AMM 20-13-02: - K0773, K0775 (N2 RELAYS) - K0363, K0385 (N2 RELAYS) - K0548 (N2 DISAGREE RELAY) M83536/6-022M (2 EA), M83536/2-024M (3 EA) FOR ENGINE #2: REPLACE THE FOLLOWING RELAYS PER AMM 20-13-02: - K0772, K0774 (N2 RELAYS) - K0362, K0384 (N2 RELAYS) - K0548 (N2 DISAGREE RELAY) M83536/6-022M (2 EA), M83536/2-024M (3 EA)",". 

LP 1016407 R&R RELAYS K0773, K0775, K0363, K0385, K0548, K0772, K0774, K0362, K0384, IAW EMB 145 AMM 20-13-02. PERFORMED OPS CHECK OF RUDDER SYSTEM IAW EMB 145 FIM 27-22-00. OPS CHECK GOOD. / LOTO REMOVED AND STOWED. / CMC AND FADEC FAULT CODES HAVE BEEN REVIEWED SEE ACTION UNDER WORKSTEP 1",RUDDER SYS
E2 FUEL LOW PRES EICAS MSG / MEL VERIFICATION REQUIRED / MANAGEMEMT APPROVAL REQUIRED TO CLEAR THIS MEL / ENGINEERING REQUEST PERFORM FIM 28-45-00-810-802 IN CONJUNCTION WITH WM 28-21-51.,". 

DEFERRED FUEL PUMP 2B PER MEL 28-21-01-1, PLACARD APPLIED, CB A4 (FUEL PUMP 2B) ON LH DIST PNL PULLED AND COLLARED. PUMPS 2A AND 2C OPS CHECK NORMAL. / TROUBLESHOOTING R&R ENGINE FUEL PRESSURE SWITCH REF EMB 145 28-45-01 FAULT CONTINUED, R&R FUEL PUMP CONTACTOR K0124 REF EMB 145 28-21-14 FAULT CONTINUED. TROUBLESHOT TO 2B FUEL PUMP INOP-ERATIVE MEL CONTINUES. CB 2B COLLARD PLACRARD INSTALLED / PERFORMED FIM 28-45-00-810-802 IN CONJUNCTION WITH WM 28-21-51. R&R ELECTRIC FUEL PUMP IAW EMB145XR AMM 28-21-01. OPS CHECK SAT. LEAK CHECK GOOD. PLACARDS REMOVED. MEL CLEARED. CB A4 (FUEL PUMP 2B) CLOSED. / PUMP COMPLIED WITH MEL 28-21-01-1 VERIFICATION. FUEL PUMP 2B C/B COLLAR AND PLACARD INSTALLED. PUMPS 2A AND 2C OPEPATIONAL / RECEIVED MANAGEMENT APPROVAL TO CLOSE MEL / ENGINEERING REQUEST PERFORMED FIM 28-45-00-810-802 IN CONJUNCTION WITH WM 28-21-51. R&R ELECTRIC FUEL PUMP 2B IAW EMB145XR AMM 28-21-01. OPS CHECK SAT. LEAK CHECK GOOD. PLACARDS REMOVED. MEL CLEARED.",FUEL QTY IND
"ENG 1 A/I FAIL WHILE ON GROUND. OPEN INSCRIPTION ON #1 A/I ENGINE 1 PUSH BUTTON / LOTO INSTALLED / ENGINEERING REQUEST – E1 AI FAIL DOWNLOAD THE CMC PER AMM 45-45-00 AND UPLOAD THE DATA TO THE SERVER. REACTIVATE THE E1 AI VALVE PER AMM 30-21-01-440-801-A. BASED ON THE CMC MESSAGES, PERFORM FIM 30-21-00-810-801-A AND 30-21-00-810-802-A AS REQUIRED. / CHECK THE SENSE LINES, MANIFOLD, & DUCTS FOR SECURITY, CRACKS, OR ANY SIGN OF LEAKAGE. / DISCONNECT THE E1 PRESS TRANSDUCER CONNECTOR P2859. REMOVE THE #1 AND #2 DAU’S AND CHECK CONTINUITY BETWEEN: A. XDCR P2859-5 TO DAU #2 J1018-A-19 B. XDCR P2859-11 TO DAU #2 J1018-A-42 C. XDCR P2859-9 TO DAU #1 J1019-A-44 CHECK THE CONDITION OF THE TRANSDUCER AND VALVE CONNECTOR PINS AND SOCKETS. / IF IT IS A HARD FAULT, SWAP THE FOLLOWING ONE AT A TIME TO SEE IF ONE RESOLVES THE ISSUE. A. SWAP THE DAU’S. B. SWAP THE E1 PRESSURE TRANSDUCER WITH THE E2 SIDE. C. SWAP THE E1 A/I VALVE WITH THE E2 SIDE. / REPAIR ANY DEFECTS AS REQUIRED. IF NFF, REPLACE THE E1 PRESSURE TRANSDUCER PER AMM 30-21-06. / PERFORM THE E1 ENGINE ANTI-ICING SYSTEM OPERATIONAL CHECK PER AMM 30-21-00-700-803-A/500.",". 

DEFERRED E1 A/I VALVE PER MEL 30-21-01-1, PLACARD INSTALLED, E1 A/I VALVE LOCKED OPEN. / LP 68018 UNDEFFERED A/I VALVE FOR OPS CHECK. NO FAULTS FOUND. DUE TO REPETETIVENESS OF A/I FAIL MESSAGES ON CMC SUGGEST PRESSURE TRANSDUCER CHANGE PER RICK BRITANIK. AOG FOR PARTS. MEL REMAINS OPEN / LOTO STOWED AS REQUIRED. / ENGINEERING REQUEST – E1 AI FAIL DOWNLOADED CMC PER ENGINEERING REQUEST IAW EMB145 AMM 45-45-00 MEL 30-21-01-1 CONTINUES / SPOKE WITH ENGINEERING, THEY`RE SATISIFIED WITH THE PARTS THAT WERE CHANGE, THIS STEP IS NOT REQUIRED / SPOKE WITH ENGINEERING, THEY`RE SATISIFIED WITH THE PARTS THAT WERE CHANGE, THIS STEP IS NOT REQUIRED / SPOKE WITH ENGINEERING, THEY`RE SATISIFIED WITH THE PARTS THAT WERE CHANGE, THIS STEP IS NOT REQUIRED / TRANSDUCER WAS REPLACED / R&R #1 ENG ANTI-ICING VALVE AND PRESSURE SWITCH IAW EMB 145 AMM 30-21-01 SEE LOG PAGE 68018 ITEM # 1 FOR DETAILS MEL CLEARED.",A/I PROBLEM-ENG
CLEAR/ICE INOP-1 AND CLEAR ICE 1 MESSAGES ON EICAS / LOTO INSTALLED,". 

DEFERRED CLEAR ICE 1 PER MEL 30-81-01-1, PLACARD INSTALLED. / CLEAR ICE MSG R/R ICE DETECTOR PROCESSOR AND PERFORM OPS CK IAW EMB 145 AMM 30-80-00 OPS CK GOOD MEL CLEARED MEL PLACARD REMOVED / REMOVED AND STOWED LOTO AS REQUIRED.",CLEAR ICE DET
BOTH WINDSHIELD WIPER BLADES COMING APART NEAR BLADE TIPS,". 

LP 1005659 R&R PILOT`S WIPER INSERT AND F/O`S WIPER BLADE IAW EMB 145 AMM 30-41-03. OP CHECK GOOD.",WS WIPER
EMERG BRAKE LOW PRES EICAS MSG PRESENT AFTER BEING SHUT DOWN AT GATE **ACCUMULATOR / LOOK AT REPEAT LEVEL 1 W/O 102012805 / NUMBER TWO ENGINE HP SPOOL ELEVATED DURING TAKEOFF,". 

R/R #2 BRAKE ASSY IAW EMB 145 AMM 32-49-03. OPS CHECK SAT. FOLOWED FIM 32-44-00-810-801-A. ORDERED PRESS SWITCH ACCM LOW PRESS ON AOG / REMOVED AND REPLACED ACCM LOW PRESSURE SWITCH IAW EMB 145 XR AMM 32-44-07. OPS CHECK SAT. PLACARD REMOVED / W/O 102012805 CLOSED OUT / PERFORMED CMC REVIEWED DATA AND THERE WERE NO HIGH PRESSURE SPOOL EXCEEDANCE",PARKING BRAKE
#1 FMS DATABASE INOPERATIVE / REPLACE #1 FMS BATTERY PER EMB 145 AMM 34-61-00. THEN LOAD THE NAV DB PER TI E145-3460-2022-004 REV 01 FMS NAV DATABASE CU32204001 UPDATE / DE-ENERGIZE THE AIRCRAFT AND ENERGIZE THEM AGAIN TO SEE THE NAV DB HOLDS THE MOST UPDATED VERSION.,". 

DEFERRED PER MEL 34-60-00-2, PULLED AND COLLARED C/B D9, PLACARD APPLIED (MRB BACKDATED) / LOG PAGE 96991 REMOVED AND REPLACED #1 FMS BATTERY AND UPDATED NAV AND AIRCRAFT DATABASE REF EMB 145 AMM 34-61-00. TI 145-3460-2022-004. OPS CHECK GOOD. CB D9 RESET , MEL CLEARED , PLACARD REMOVED / SEE STEP 1 / DE-ENERGIZED AND ENERGIZED AIRCRAFT TWICE NO FAULTS FOUND",FMS
LAV NOT FLUSHING / LOTO INSTALLED,". 

ATTEMPTED LAV DUMP DUCT REMOVAL AND FOUND DUCT PARTIALLY INSTALLED. UPPER DAMAGED SECTION REQUIRES LAV COMPARTMENT TO BE DISASSEMBLED, DEFERRED PER MEL 38-30-00-2 PLACARDS APPLIED, C/B E9 PULLED AND COLLARED, LAV DOOR SECURED CLOSED. LAV SERVICE PORT PLACARDED DO NOT SERVICE. / LAV NOT FLUSHING REPLACED LAV WASTE DRAIN HOSE IRW EMB 145 AMM 38-32-02 SUB TASK 420-002-A UP TO AND INCLUDING STEP 1 / R&R LAV WASTE DRAIN HOSE IAW EMB145 AMM38-32-02 OPS CHECK GOOD, MEL CLEARED, PLACARD REMOVED, C/B E9 RESET, LAV DOOR RETURNED TO NORMAL, LAV SERVICE PLACARD REMOVED. REF CA-49 ITEM 06 / COMPLETED REMAINING STEPS FOR WASTE DRAIN HOSE INSTALLATION IAW EMB 145 AMM 38-32-02, OPS CHECK GOOD / REMOVED AND STOWED AS REQUIRED",LAV PROBLEM
"SPEED TAPED PANELS UNDER FUSELAGE FWD WING FAIRING, 2 CLOSE LOCATONS, LHS, TAPE COMING UNDONE. / LOTO INSTALLED",". 

LP 1005660 REMOVED AND REPLACED DAMAGED SPEED TAPE ON FWD BELLY FAIRING IAW EMB 145 SRM 51-71-12 / LOTO REMOVED AND STOWED AS REQUIRED",SPEED TAPE
PANEL UNDERNEATH LEFT WING ROOT MISSING 2 SCREWS. / LOTO INSTALLED,". 

REPLACED MISSING SCREWS UNDER LH WING ROOT REF E145AMM 20-10-07 / REMOVED AND STOWED LOTO",MISSING/LOOSE SCREW
"E1 SHORT DISP / LOTO INSTALLED / DOWNLOAD THE 1A AND 1B FADEC DOWNLOAD THE FADEC FAULT CODE STORES FROM THE 1A AND 1B FADECS AND FORWARD DATA TO POWERPLANT@COMMUTAIR.COM / E1 SHORT DISPATCH ITT SYS THE CMC/FADEC FAULT CODES HAVE BEEN REVIEWED. THE FOLLOWING FAULT CODES WERE FOUND SET. 1A FADEC S/N BX161737 1A - FADEC LABEL 357 BIT 19 - ITT DIFFERENCE FAULT 1A - FADEC LABEL 353 BIT 15 - TOTAL LOSS OF ITT SIGNAL ON A SIDE 1B FADEC S/N BX161739 1B - FADEC LABEL 357 BIT 19 - ITT DIFFERENCE FAULT RECOMMENDATION IS TO: 1. VERIFY THE S/N OF THE 1A AND 1B FADEC, THE FADEC DOWNLOADS AND AMOS DO NOT AGREE AS TO THE S/N AND LOCATION. IF THE ABOVE S/N FADECS DO NOT AGRE AS TO LOCATION AND S/N CONTACT POWERPLANT@COMMUTAIR.COM. 2. REMOVE AND REPLACE THE 1A ITT HARNESS REF RR MM TASKS 77-21-15-000-801 AND 77-21-15-400-801 3. COMPLETE TI E145-7721-2021-001 DO THE TEST OF THE TURBINE-INTERSTAGE THERMOCOUPLE SYSTEM AND REPLACE ANY THERMOCOUPLES FOUND TO BE OUT OF TOLERANCE. 4. FORWARD COMPLETED TI TO POWERPLANT@COMMUTAIR.COM",". 

DEFERRED E1 SD PER MEL 73-22-01-1, PLACARD INSTALLED. / REMOVED AND STOWED LOTO / LP1008322 DOWNLOAD THE 1A AND 1B FADEC C/W DOWNLOAD OF THE FADEC FAULT CODE STORES FROM 1A AND 1B FADECS. FORWARDED DATA TO POWERPLANT@COMMUTAIR.COM IAW ROLLS-ROYCE FIM ENGINE DOWNLOADER STEPS MEL CONTINUES",ENG NO DISP/SHORT DISP
E2 SHORT DISPATCH / LOTO INSTALLED / DOWNLOAD THE 2A AND 2B FADEC FAULT CODE STORES PLEASE DOWNLOAD THE 2A AND 2B FADEC FAULT CODE STORES AND FORWARD TO POWERPLANT @COMMUTAIR.COM,". 

DEFERRED E2 SD PER MEL 73-22-01-1, PLACARD INSTALLED. / AFTER REPAIRING WIRE ON WO#102038283. E1 SHORT DISPATCH MESSAGE ON EICAS WAS NOT THERE ANYMORE. MEL CLEARED AND PLACARD REMOVED. ENGINE RAN ON WO#102038283 / REMOVED AND STOWED AS REQUIRED. / DOWNLOAD THE 2A AND 2B FADEC FAULT CODE STORES FADEC 2A AND 2B DOWNLOADED AND SENT TO POWERPLANT@COMMUTAIR.COM",ENG NO DISP/SHORT DISP
#2 RH HIGH PRESSURE SPOOL ELEVATED ON T/O / LP 1016591 LOTO INSTALLED,". 

PERFORMED CMC REVIEWED DATA AND THERE WERE NO HIGH PRESSURE SPOOL EXCEEDANCES. / LP 1016591 LOTO REMOVED AND STOWED.",ENGINE
5 SAFETY BRIEFING CARDS REQUIRED / LOTO DEVICE INSTALLED,". 

REPLACED 5 SAFETY BRIEFING CARDS AS REQ / LOTO REMOVED AND STOWED",OTHER
CAPTAIN YOKE MIC SWITCH PLACARD MISSING / LOTO INSTALLED,". 

TEMP PLACARD INSTALLED. DEFERRED REQUIRED PLACARD REPLACEMENT PER DMI 102038299 FOR 50FH. ALL WORK DONE IAW TA E145-1100-2017-001. / L/P 1008419 REPLACED PTT PLACARD ON CA SIDE YOKE IRT EMB 145 AMM 11/31/02. DMI CLEARED. REMOVED & STOWED LOTO AS REQ. / LOTO REMOVED AND STOWED AS REQUIRED",PLACARD
"SAFETY DEMO CD PLAYER NOT WORKING / LOTO INSTALLED / REPLACE THE SAFETY BREIFING CD, AND PERFORM THE OPERATIONAL CHECK OF THE CD PLAYER IAW EMB 145 AMM 23-32-00-05. / IF THE OPS CK DID NOT PASS THEN REPLACE THE CD PLAYER IAW EMB 145 AMM 23-32-01-04 AS REQUIRED.",". 

DEFERRED PER MEL 23-32-02-1. PLACARD APPLIED / LOTO REMOVED AND STOWED AS PER GMM",CD PLAYER
SPEAKER ABOVE FA JUMPSEAT NOT WORKING / LOTO DEVICE INSTALLED,". 

DEFERED PER MEL 23-33-01-1 PLACARD INSTALLED / SYSTEM TROUBLE SHOT IAW EMB 145 AMM 23-31-00. R & R AMPLIFIER IAW EM 145 AMM 23-31-01. OPS CHECK FAILED. ORIGINAL AMPLIFIER REINSTALLED. R & R CONTROL MODULE IAW EMB 145 AMM 33-21-01. OPS CHECK FAILED. ORIGINAL CONTROL MODULE REINSTALLED. T/S FOUND WHEN REAR HANDSET PA IS PRESSED, THE LIGHT DOES NOT ILLUMINATE, AND PHONE TRANSMITS WITHOUT DEPRESSING PTT. FORWARD SPEAKER WORKS AS IT SHOULD. FURTHER TROUBLE SHOOTING REQUIRED MEL CONTINUES / LP 0088124 REMOVED AND REPLACED FWD AND AFT ATTENDANT HANDSET. OPS CHECK FAILED. REINSTALLED FWD AND AFT ATTENDANT HANDSET IAW EMB-145 AMM 23-31-03. SPEAKER INOP. AIRCRAFT REMAINS ON MEL / PERFORMED OPS CK OF CABIN INTERPHONE SYSTEM REF EMB 145 AMM 23-31-00. COCKPIT BULKHEAD SPEAKER OPS CK GOOD.. WHEN USING THE FWD HANDSET DEPRESSING THE PTT MUTES THE GALLEY AND BULKHEAD SPEAKERS. SEE WM 23-33-50. PLACARD REMOVED. MEL CLEARED. / LOTO REMOVED AND STOWED",PA/INTERPHONE
CD PLAYER NOT WORKING / VERIFY MEL PROCEDURE / REPLACE THE SAFETY BREIFING CD AND PERFORM THE OPERATIONAL CHECK OF THE CD PLAYER IAW EMB 145 AMM 23-32-00-05. / IF THE OPS CK DID NOT PASS THEN REPLACE THE CD PLAYER IAW EMB 145 AMM 23-32-01-04 AS REQUIRED.,". 

DEFERRED PER MEL 23-32-02-1. PLACARD APPLIED / PERFORMED OPS TEST IAW EMB145 AMM 23-32-00. OPS CHECK FAIL. AWAITING PARTS. / VERIFIED MEL WAS APPLIED CORRECTLY. NO DEFFECTS NOTED. / TROUBLESHOT CD PLAYER, FOUND IT TO BE UNPLUGGED. PLUGGED THE CD PLAYER BACK IN, RE-INSTALLED IAW EMB 145 AMM 23-32-01. OPS CHECK SAT / LP1032465 TROUBLESHOT CD PLAYER, FOUND IT TO BE UNPLUGGED. PLUGGED THE CD PLAYER BACK IN, RE-INSTALLED IAW EMB 145 AMM 23-32-01. OPS CHECK SAT",CD PLAYER
